ID,probability_of_default,credit_score,decision
1286,0.12360871183885914,487.2775410651665,APPROVE
1287,0.8424653943780065,277.48780655744497,DECLINE
1288,0.4676684853464744,381.71930298979345,APPROVE
1289,0.08884749014451591,508.5773374949258,APPROVE
1290,0.6746974982563019,332.1473966122756,DECLINE
1291,0.5396550336105664,365.07286804213624,DECLINE
1292,0.4716659193957633,380.7931569504509,DECLINE
1293,0.6419920672934759,340.5431957688572,DECLINE
1294,0.1564078116967878,471.4950790800108,APPROVE
1295,0.8985742326601024,248.3572134221688,DECLINE
1296,0.3881849699520295,400.4998039812697,APPROVE
1297,0.846301445415597,275.80303108942377,DECLINE
1298,0.5924840112799984,352.6489700848003,DECLINE
1299,0.4681268449316118,381.6130613325946,APPROVE
1300,0.20915045426392734,451.0002374288664,APPROVE
1301,0.5271365880282181,367.9756198223303,DECLINE
1302,0.15161936938773488,473.61605694330274,APPROVE
1303,0.17696330350451195,462.94601378149116,APPROVE
1304,0.5933543824484785,352.4408744250941,DECLINE
1305,0.08829862161784725,508.9696937984206,APPROVE
1306,0.6676135817341483,333.99967753644836,DECLINE
1307,0.6905232392205541,327.93139681686284,DECLINE
1308,0.37947392628400495,402.6253952332855,APPROVE
1309,0.6482623694802521,338.962626810576,DECLINE
1310,0.28317576949972745,427.8426156649446,APPROVE
1311,0.8245091182541067,284.96017735246744,DECLINE
1312,0.5804363347657806,355.5158288273263,DECLINE
1313,0.4777812488694706,379.37791346617587,DECLINE
1314,0.1193913246954407,489.55787428280206,APPROVE
1315,0.5854839606468356,354.3176835329012,DECLINE
1316,0.5389755632985681,365.2306867760109,DECLINE
1317,0.29302617301442313,425.0708433777485,APPROVE
1318,0.4850350481811337,377.7011623241951,DECLINE
1319,0.05736907360534274,535.7796679387986,APPROVE
